DOD,f_capacity_cyc
0.3979999999999999,0.001215042
0.3989999999999999,0.001216421
0.4,0.0012178
0.401,0.001219179
0.402,0.001220558
0.4029999999999999,0.001221937
0.4039999999999999,0.001223316
0.405,0.001224695
0.406,0.001226074
0.407,0.001227453
0.408,0.001228832
0.409,0.001230211
0.41,0.00123159
0.411,0.001232969
0.412,0.001234348
0.413,0.001235727
0.414,0.001237106
0.415,0.001238485
0.416,0.001239864
0.417,0.001241243
0.418,0.0012426219999999
0.419,0.001244001
0.42,0.00124538
0.421,0.0012467589999999
0.422,0.001248138
0.423,0.001249517
0.424,0.001250896
0.425,0.001252275
0.426,0.0012536539999999
0.427,0.001255033
0.428,0.001256412
0.429,0.001257791
0.43,0.00125917
0.431,0.001260549
0.432,0.001261928
0.433,0.001263307
0.434,0.001264686
0.435,0.001266065
0.436,0.001267444
0.437,0.001268823
0.4379999999999999,0.001270202
0.439,0.001271581
0.44,0.00127296
0.441,0.001274339
0.442,0.001275718
0.4429999999999999,0.001277097
0.444,0.001278476
0.445,0.001279855
0.446,0.001281234
0.447,0.001282613
0.4479999999999999,0.001283992
0.449,0.001285371
0.45,0.00128675
0.451,0.0012881289999999
0.452,0.001289508
0.4529999999999999,0.001290887
0.4539999999999999,0.001292266
0.455,0.001293645
0.456,0.0012950239999999
0.457,0.001296403
0.4579999999999999,0.001297782
0.4589999999999999,0.001299161
0.46,0.00130054
0.461,0.001301919
0.462,0.001303298
0.4629999999999999,0.001304677
0.4639999999999999,0.001306056
0.465,0.001307435
0.466,0.001308814
0.467,0.001310193
0.4679999999999999,0.001311572
0.469,0.001312951
0.47,0.00131433
0.471,0.001315709
0.472,0.001317088
0.473,0.001318467
0.474,0.001319846
0.475,0.001321225
0.476,0.001322604
0.477,0.001323983
0.478,0.001325362
0.479,0.001326741
0.48,0.00132812
0.481,0.001329499
0.482,0.001330878
0.483,0.001332257
0.484,0.001333636
0.485,0.001335015
0.486,0.0013363939999999
0.487,0.0013377729999999
0.488,0.001339152
0.489,0.001340531
0.49,0.00134191
0.491,0.001343289
0.492,0.0013446679999999
0.493,0.001346047
0.494,0.001347426
0.495,0.001348805
0.496,0.001350184
0.497,0.0013515629999999
0.498,0.001352942
0.499,0.001354321
0.5,0.0013557
0.501,0.001357079
0.502,0.0013584579999999
0.503,0.001359837
0.504,0.001361216
0.505,0.001362595
0.506,0.001363974
0.507,0.001365353
0.508,0.001366732
0.509,0.001368111
0.51,0.00136949
0.511,0.001370869
0.512,0.001372248
0.513,0.001373627
0.514,0.001375006
0.515,0.001376385
0.516,0.0013777639999999
0.517,0.0013791429999999
0.518,0.001380522
0.519,0.001381901
0.52,0.00138328
0.521,0.0013846589999999
0.522,0.0013860379999999
0.523,0.001387417
0.524,0.001388796
0.525,0.001390175
0.526,0.001391554
0.527,0.0013929329999999
0.528,0.001394312
0.529,0.001395691
0.53,0.00139707
0.531,0.001398449
0.532,0.0013998279999999
0.5329999999999999,0.001401207
0.534,0.001402586
0.535,0.001403965
0.536,0.001405344
0.537,0.001406723
0.5379999999999999,0.001408102
0.539,0.001409481
0.54,0.00141086
0.541,0.001412239
0.542,0.001413618
0.5429999999999999,0.001414997
0.544,0.001416376
0.545,0.001417755
0.546,0.0014191339999999
0.547,0.001420513
0.5479999999999999,0.001421892
0.5489999999999999,0.001423271
0.55,0.00142465
0.551,0.0014260289999999
0.552,0.0014274079999999
0.5529999999999999,0.001428787
0.5539999999999999,0.001430166
0.555,0.001431545
0.556,0.001432924
0.557,0.0014343029999999
0.5579999999999999,0.001435682
0.5589999999999999,0.001437061
0.56,0.00143844
0.561,0.001439819
0.562,0.0014411979999999
0.563,0.001442577
0.564,0.001443956
0.565,0.001445335
0.5660000000000001,0.001446714
0.5670000000000001,0.001448093
0.568,0.001449472
0.569,0.001450851
0.57,0.00145223
0.5710000000000001,0.001453609
0.5720000000000001,0.001454988
0.573,0.001456367
0.574,0.001457746
0.575,0.001459125
0.5760000000000001,0.0014605039999999
0.5770000000000001,0.001461883
0.578,0.001463262
0.579,0.001464641
0.58,0.00146602
0.581,0.0014673989999999
0.5820000000000001,0.0014687779999999
0.583,0.001470157
0.584,0.001471536
0.585,0.001472915
0.586,0.001474294
0.5870000000000001,0.0014756729999999
0.588,0.001477052
0.589,0.001478431
0.59,0.00147981
0.591,0.001481189
0.5920000000000001,0.0014825679999999
0.593,0.001483947
0.594,0.001485326
0.595,0.001486705
0.596,0.001488084
0.597,0.001489463
0.598,0.001490842
0.599,0.001492221
0.6,0.0014936
0.601,0.001494979
0.602,0.001496358
0.603,0.001497737
0.604,0.001499116
0.605,0.001500495
0.606,0.001501874
0.607,0.001503253
0.608,0.001504632
0.609,0.001506011
0.61,0.00150739
0.611,0.0015087689999999
0.612,0.0015101479999999
0.613,0.001511527
0.614,0.001512906
0.615,0.001514285
0.616,0.001515664
0.617,0.0015170429999999
0.618,0.001518422
0.619,0.001519801
0.62,0.00152118
0.621,0.001522559
0.622,0.0015239379999999
0.623,0.001525317
0.624,0.001526696
0.625,0.001528075
0.626,0.001529454
0.627,0.0015308329999999
0.628,0.001532212
0.629,0.001533591
0.63,0.00153497
0.631,0.001536349
0.632,0.001537728
0.633,0.001539107
0.634,0.001540486
0.635,0.001541865
0.636,0.001543244
0.637,0.001544623
0.638,0.001546002
0.639,0.001547381
0.64,0.00154876
0.6409999999999999,0.0015501389999999
0.642,0.0015515179999999
0.643,0.001552897
0.644,0.001554276
0.645,0.001555655
0.6459999999999999,0.001557034
0.647,0.0015584129999999
0.648,0.001559792
0.649,0.001561171
0.65,0.00156255
0.6509999999999999,0.001563929
0.652,0.0015653079999999
0.653,0.001566687
0.654,0.001568066
0.655,0.001569445
0.6559999999999999,0.001570824
0.657,0.0015722029999999
0.6579999999999999,0.001573582
0.659,0.001574961
0.66,0.00157634
0.6609999999999999,0.001577719
0.662,0.001579098
0.6629999999999999,0.001580477
0.664,0.001581856
0.665,0.001583235
0.6659999999999999,0.001584614
0.667,0.001585993
0.6679999999999999,0.001587372
0.669,0.001588751
0.67,0.00159013
0.6709999999999999,0.0015915089999999
0.672,0.001592888
0.6729999999999999,0.001594267
0.674,0.001595646
0.675,0.001597025
0.6759999999999999,0.0015984039999999
0.677,0.0015997829999999
0.6779999999999999,0.001601162
0.679,0.001602541
0.68,0.00160392
0.6809999999999999,0.001605299
0.682,0.0016066779999999
0.6829999999999999,0.001608057
0.684,0.001609436
0.685,0.001610815
0.6859999999999999,0.001612194
0.687,0.0016135729999999
0.688,0.001614952
0.6890000000000001,0.001616331
0.69,0.00161771
0.691,0.001619089
0.6920000000000001,0.001620468
0.693,0.001621847
0.6940000000000001,0.001623226
0.695,0.001624605
0.696,0.001625984
0.6970000000000001,0.001627363
0.698,0.001628742
0.6990000000000001,0.001630121
0.7,0.0016315
0.701,0.0016328789999999
0.7020000000000001,0.001634258
0.703,0.001635637
0.7040000000000001,0.001637016
0.705,0.001638395
0.706,0.0016397739999999
0.7070000000000001,0.0016411529999999
0.708,0.001642532
0.7090000000000001,0.001643911
0.71,0.00164529
0.711,0.001646669
0.7120000000000001,0.0016480479999999
0.713,0.001649427
0.7140000000000001,0.001650806
0.715,0.001652185
0.716,0.001653564
0.7170000000000001,0.0016549429999999
0.718,0.001656322
0.7190000000000001,0.001657701
0.72,0.00165908
0.721,0.001660459
0.722,0.001661838
0.723,0.001663217
0.7240000000000001,0.001664596
0.725,0.001665975
0.726,0.001667354
0.727,0.001668733
0.728,0.001670112
0.7290000000000001,0.001671491
0.73,0.00167287
0.731,0.001674249
0.732,0.001675628
0.733,0.001677007
0.7340000000000001,0.001678386
0.735,0.001679765
0.736,0.0016811439999999
0.737,0.0016825229999999
0.738,0.001683902
0.7390000000000001,0.001685281
0.74,0.00168666
0.741,0.001688039
0.742,0.0016894179999999
0.743,0.001690797
0.7440000000000001,0.001692176
0.745,0.001693555
0.746,0.001694934
0.747,0.0016963129999999
0.748,0.001697692
0.7490000000000001,0.001699071
0.75,0.00170045
0.7509999999999999,0.001701829
0.752,0.001703208
0.753,0.001704587
0.754,0.001705966
0.755,0.001707345
0.7559999999999999,0.001708724
0.757,0.001710103
0.758,0.001711482
0.759,0.001712861
0.76,0.00171424
0.7609999999999999,0.001715619
0.762,0.001716998
0.763,0.001718377
0.764,0.001719756
0.765,0.001721135
0.7659999999999999,0.0017225139999999
0.767,0.0017238929999999
0.768,0.001725272
0.769,0.001726651
0.77,0.00172803
0.7709999999999999,0.001729409
0.772,0.0017307879999999
0.773,0.001732167
0.774,0.001733546
0.775,0.001734925
0.7759999999999999,0.001736304
0.777,0.0017376829999999
0.778,0.001739062
0.779,0.001740441
0.78,0.00174182
0.7809999999999999,0.001743199
0.782,0.0017445779999999
0.7829999999999999,0.001745957
0.784,0.001747336
0.785,0.001748715
0.7859999999999999,0.001750094
0.787,0.001751473
0.7879999999999999,0.001752852
0.789,0.001754231
0.79,0.00175561
0.7909999999999999,0.001756989
0.792,0.001758368
0.7929999999999999,0.001759747
0.794,0.001761126
0.795,0.001762505
0.7959999999999999,0.0017638839999999
0.797,0.001765263
0.7979999999999999,0.001766642
0.799,0.001768021
0.8,0.0017694
0.8009999999999999,0.0017707789999999
0.802,0.0017721579999999
0.8029999999999999,0.001773537
0.804,0.001774916
0.805,0.001776295
0.8059999999999999,0.001777674
0.807,0.0017790529999999
0.8079999999999999,0.001780432
0.809,0.001781811
0.81,0.00178319
0.8109999999999999,0.001784569
0.812,0.0017859479999999
0.813,0.001787327
0.8140000000000001,0.001788706
0.815,0.001790085
0.816,0.001791464
0.8170000000000001,0.001792843
0.818,0.001794222
0.8190000000000001,0.001795601
0.82,0.00179698
0.821,0.001798359
0.8220000000000001,0.001799738
0.823,0.001801117
0.8240000000000001,0.001802496
0.825,0.001803875
0.826,0.0018052539999999
0.8270000000000001,0.001806633
0.828,0.001808012
0.8290000000000001,0.001809391
0.83,0.00181077
0.831,0.0018121489999999
0.8320000000000001,0.0018135279999999
0.833,0.001814907
0.8340000000000001,0.001816286
0.835,0.001817665
0.836,0.001819044
0.8370000000000001,0.0018204229999999
0.838,0.001821802
0.8390000000000001,0.001823181
0.84,0.00182456
0.841,0.001825939
0.8420000000000001,0.0018273179999999
0.843,0.001828697
0.8440000000000001,0.001830076
0.845,0.001831455
0.846,0.001832834
0.847,0.001834213
0.848,0.001835592
0.8490000000000001,0.001836971
0.85,0.00183835
0.851,0.001839729
0.852,0.001841108
0.853,0.001842487
0.8540000000000001,0.001843866
0.855,0.001845245
0.856,0.0018466239999999
0.857,0.001848003
0.858,0.001849382
0.8590000000000001,0.001850761
0.86,0.00185214
0.861,0.0018535189999999
0.862,0.0018548979999999
0.863,0.001856277
0.8640000000000001,0.001857656
0.865,0.001859035
0.866,0.001860414
0.867,0.0018617929999999
0.868,0.001863172
0.8690000000000001,0.001864551
0.87,0.00186593
0.871,0.001867309
0.872,0.0018686879999999
0.873,0.001870067
0.8740000000000001,0.001871446
0.875,0.001872825
0.8759999999999999,0.001874204
0.877,0.001875583
0.878,0.001876962
0.879,0.001878341
0.88,0.00187972
0.8809999999999999,0.001881099
0.882,0.001882478
0.883,0.001883857
0.884,0.001885236
0.885,0.001886615
0.8859999999999999,0.001887994
0.887,0.001889373
0.888,0.001890752
0.889,0.001892131
0.89,0.00189351
0.8909999999999999,0.0018948889999999
0.892,0.0018962679999999
0.893,0.001897647
0.894,0.001899026
0.895,0.001900405
0.8959999999999999,0.001901784
0.897,0.0019031629999999
0.898,0.001904542
0.899,0.001905921
0.9,0.0019073
0.901,0.001908679
0.902,0.0019100579999999
0.903,0.001911437
0.904,0.001912816
0.905,0.001914195
0.906,0.001915574
0.907,0.0019169529999999
0.908,0.001918332
0.909,0.001919711
0.91,0.00192109
0.911,0.001922469
0.912,0.001923848
0.913,0.001925227
0.914,0.001926606
0.915,0.001927985
0.916,0.001929364
0.917,0.001930743
0.918,0.001932122
0.919,0.001933501
0.92,0.00193488
0.921,0.0019362589999999
0.922,0.001937638
0.923,0.001939017
0.924,0.001940396
0.925,0.001941775
0.926,0.0019431539999999
0.927,0.0019445329999999
0.928,0.001945912
0.929,0.001947291
0.93,0.00194867
0.931,0.001950049
0.932,0.0019514279999999
0.933,0.001952807
0.934,0.001954186
0.935,0.001955565
0.936,0.001956944
0.937,0.001958323
0.938,0.001959702
0.939,0.001961081
0.94,0.00196246
0.941,0.0019638389999999
0.942,0.001965218
0.943,0.001966597
0.944,0.001967976
0.945,0.001969355
0.946,0.001970734
0.947,0.0019721129999999
0.948,0.001973492
0.949,0.001974871
0.95,0.00197625
0.951,0.001977629
0.952,0.001979008
0.953,0.001980387
0.954,0.001981766
0.955,0.001983145
0.956,0.001984524
0.957,0.001985903
0.958,0.001987282
0.959,0.001988661
0.96,0.00199004
0.961,0.001991419
0.962,0.001992798
0.963,0.001994177
0.964,0.001995556
0.965,0.001996935
0.966,0.0019983139999999
0.967,0.001999693
0.968,0.002001072
0.969,0.002002451
0.97,0.00200383
0.971,0.002005209
0.972,0.0020065879999999
0.973,0.002007967
0.974,0.002009346
0.975,0.002010725
0.976,0.002012104
0.977,0.002013483
0.978,0.002014862
0.979,0.002016241
0.98,0.00201762
0.981,0.002018999
0.982,0.0020203779999999
0.983,0.002021757
0.984,0.002023136
0.985,0.002024515
0.986,0.002025894
0.987,0.002027273
0.988,0.002028652
0.989,0.002030031
0.99,0.00203141
0.991,0.002032789
0.992,0.002034168
0.993,0.002035547
0.994,0.002036926
0.995,0.002038305
0.996,0.002039684
0.997,0.002041063
0.998,0.002042442
0.999,0.002043821
1.0,0.0020452
