SOC,Temp,T=10.00,T=11.00,T=12.00,T=13.00,T=14.00,T=15.00,T=16.00,T=17.00,T=18.00,T=19.00,T=20.00,T=21.00,T=22.00,T=23.00,T=24.00,T=25.00,T=26.00,T=27.00,T=28.00,T=29.00,T=30.00,T=31.00,T=32.00,T=33.00,T=34.00,T=35.00,T=36.00,T=37.00,T=38.00,T=39.00,T=40.00,T=41.00,T=42.00,T=43.00,T=44.00,T=45.00,T=46.00,T=47.00,T=48.00,T=49.00,T=50.00
0.4,50.0,0.0020514715385944,0.0021840317395024,0.0023251576000036,0.0024754026084283,0.0026353560179338,0.0028056451575242,0.0029869378924031,0.0031799452433059,0.0033854241750867,0.003604180565495,0.0038370723657869,0.0040850129655653,0.0043489747750467,0.0046299930388044,0.0049291698959433,0.0052476787026332,0.0059159524996253,0.006646491466279,0.0074408493064473,0.0082997265461366,0.0092227811701877,0.0102084281967855,0.0112536326422656,0.0123537017632891,0.0135020840236877,0.0146901838748411,0.0152245914699666,0.0157784400387491,0.0163524368156295,0.0169473147632124,0.0175638335082197,0.0182027803114919,0.0188649710732782,0.0195512513750958,0.0202624975594919,0.0209996178490854,0.0217635535063172,0.0225552800353918,0.0233758084279423,0.0242261864540122,0.0251074999999999
0.41,,0.0020553322188771,0.0021881418858607,0.0023295333322191,0.0024800610878966,0.0026403155149704,0.0028109251230202,0.0029925590341104,0.0031859296070516,0.0033917952312362,0.0036109633010012,0.0038442933821877,0.0040927005833139,0.0043571591445826,0.0046387062588018,0.0049384461392007,0.0052575543500971,0.0059270857767579,0.0066589995503886,0.0074548522987695,0.0083153458662324,0.0092401375939771,0.0102276395173988,0.0112748109412737,0.0123769502909528,0.0135274937008806,0.0147178294464068,0.0152532427473521,0.0158081336080742,0.0163832105939642,0.0169792080469946,0.0175968870234348,0.0182370362656777,0.0189004732094213,0.0195880450274894,0.0203006297116252,0.0210391371936386,0.0218045105073398,0.0225977269927421,0.0234197995440718,0.0242717779031788,0.02515475
0.42,,0.0020591928991598,0.002192252032219,0.0023339090644345,0.0024847195673648,0.002645275012007,0.0028162050885163,0.0029981801758177,0.0031919139707974,0.0033981662873857,0.0036177460365073,0.0038515143985885,0.0041003882010625,0.0043653435141184,0.0046474194787991,0.004947722382458,0.005267429997561,0.0059382190538905,0.0066715076344982,0.0074688552910917,0.0083309651863282,0.0092574940177664,0.0102468508380121,0.0112959892402819,0.0124001988186164,0.0135529033780734,0.0147454750179725,0.0152818940247375,0.0158378271773993,0.0164139843722989,0.0170111013307768,0.0176299405386499,0.0182712922198634,0.0189359753455644,0.0196248386798831,0.0203387618637585,0.0210786565381918,0.0218454675083623,0.0226401739500924,0.0234637906602012,0.0243173693523455,0.025202
0.43,,0.0020630535794425,0.0021963621785773,0.00233828479665,0.002489378046833,0.0026502345090437,0.0028214850540124,0.003003801317525,0.0031978983345431,0.0034045373435351,0.0036245287720134,0.0038587354149894,0.0041080758188111,0.0043735278836543,0.0046561326987965,0.0049569986257153,0.0052773056450249,0.0059493523310231,0.0066840157186078,0.0074828582834139,0.008346584506424,0.0092748504415558,0.0102660621586254,0.01131716753929,0.0124234473462801,0.0135783130552663,0.0147731205895383,0.015310545302123,0.0158675207467245,0.0164447581506336,0.0170429946145589,0.017662994053865,0.0183055481740491,0.0189714774817075,0.0196616323322767,0.0203768940158917,0.0211181758827449,0.0218864245093849,0.0226826209074427,0.0235077817763307,0.0243629608015122,0.02524925
0.44,,0.0020669142597253,0.0022004723249356,0.0023426605288655,0.0024940365263012,0.0026551940060803,0.0028267650195085,0.0030094224592323,0.0032038826982889,0.0034109083996846,0.0036313115075195,0.0038659564313902,0.0041157634365597,0.0043817122531901,0.0046648459187938,0.0049662748689726,0.0052871812924888,0.0059604856081557,0.0066965238027174,0.0074968612757361,0.0083622038265198,0.0092922068653451,0.0102852734792387,0.0113383458382982,0.0124466958739438,0.0136037227324591,0.0148007661611039,0.0153391965795085,0.0158972143160496,0.0164755319289683,0.0170748878983413,0.0176960475690801,0.0183398041282348,0.0190069796178505,0.0196984259846704,0.020415026168025,0.0211576952272981,0.0219273815104074,0.0227250678647929,0.0235517728924601,0.0244085522506788,0.0252965
0.45,,0.002070774940008,0.002204582471294,0.002347036261081,0.0024986950057694,0.0026601535031169,0.0028320449850046,0.0030150436009396,0.0032098670620346,0.0034172794558341,0.0036380942430256,0.003873177447791,0.0041234510543083,0.0043898966227259,0.0046735591387912,0.00497555111223,0.0052970569399526,0.0059716188852884,0.006709031886827,0.0075108642680583,0.0083778231466155,0.0093095632891345,0.010304484799852,0.0113595241373063,0.0124699444016074,0.0136291324096519,0.0148284117326697,0.0153678478568939,0.0159269078853748,0.016506305707303,0.0171067811821235,0.0177291010842952,0.0183740600824205,0.0190424817539936,0.019735219637064,0.0204531583201583,0.0211972145718513,0.0219683385114299,0.0227675148221432,0.0235957640085896,0.0244541436998455,0.02534375
0.46,,0.0020746356202907,0.0022086926176523,0.0023514119932965,0.0025033534852376,0.0026651130001536,0.0028373249505007,0.0030206647426469,0.0032158514257804,0.0034236505119835,0.0036448769785317,0.0038803984641918,0.0041311386720569,0.0043980809922618,0.0046822723587885,0.0049848273554873,0.0053069325874165,0.005982752162421,0.0067215399709366,0.0075248672603805,0.0083934424667113,0.0093269197129239,0.0103236961204653,0.0113807024363145,0.0124931929292711,0.0136545420868448,0.0148560573042354,0.0153964991342795,0.0159566014546999,0.0165370794856377,0.0171386744659057,0.0177621545995103,0.0184083160366063,0.0190779838901367,0.0197720132894576,0.0204912904722915,0.0212367339164045,0.0220092955124525,0.0228099617794935,0.0236397551247191,0.0244997351490122,0.025391
0.47,,0.0020784963005734,0.0022128027640106,0.0023557877255119,0.0025080119647059,0.0026700724971902,0.0028426049159968,0.0030262858843542,0.0032218357895261,0.003430021568133,0.0036516597140378,0.0038876194805926,0.0041388262898055,0.0044062653617976,0.0046909855787859,0.0049941035987446,0.0053168082348804,0.0059938854395536,0.0067340480550462,0.0075388702527027,0.0084090617868071,0.0093442761367132,0.0103429074410785,0.0114018807353226,0.0125164414569347,0.0136799517640376,0.0148837028758011,0.0154251504116649,0.015986295024025,0.0165678532639724,0.0171705677496879,0.0177952081147254,0.018442571990792,0.0191134860262798,0.0198088069418513,0.0205294226244248,0.0212762532609577,0.0220502525134749,0.0228524087368438,0.0236837462408485,0.0245453265981788,0.02543825
0.48,,0.0020823569808562,0.0022169129103689,0.0023601634577274,0.0025126704441741,0.0026750319942269,0.0028478848814929,0.0030319070260615,0.0032278201532718,0.0034363926242825,0.0036584424495439,0.0038948404969934,0.004146513907554,0.0044144497313334,0.0046996987987832,0.0050033798420019,0.0053266838823443,0.0060050187166862,0.0067465561391558,0.0075528732450249,0.0084246811069029,0.0093616325605026,0.0103621187616918,0.0114230590343308,0.0125396899845984,0.0137053614412305,0.0149113484473669,0.0154538016890504,0.0160159885933502,0.0165986270423071,0.0172024610334701,0.0178282616299405,0.0184768279449777,0.0191489881624229,0.0198456005942449,0.0205675547765581,0.0213157726055109,0.0220912095144976,0.0228948556941941,0.0237277373569779,0.0245909180473455,0.0254854999999999
0.49,,0.0020862176611389,0.0022210230567272,0.0023645391899429,0.0025173289236423,0.0026799914912635,0.0028531648469889,0.0030375281677688,0.0032338045170176,0.003442763680432,0.00366522518505,0.0039020615133942,0.0041542015253026,0.0044226341008693,0.0047084120187806,0.0050126560852593,0.0053365595298082,0.0060161519938189,0.0067590642232654,0.0075668762373471,0.0084403004269987,0.0093789889842919,0.0103813300823051,0.0114442373333389,0.0125629385122621,0.0137307711184233,0.0149389940189326,0.0154824529664359,0.0160456821626753,0.0166294008206418,0.0172343543172523,0.0178613151451556,0.0185110838991634,0.0191844902985659,0.0198823942466386,0.0206056869286913,0.0213552919500641,0.0221321665155201,0.0229373026515444,0.0237717284731074,0.0246365094965121,0.02553275
