DOD,f_ri_cyc
0.632,0.0005399822
0.633,0.0005412548
0.634,0.0005425275
0.635,0.0005438001
0.636,0.0005450727
0.637,0.0005463454
0.638,0.000547618
0.639,0.0005488906
0.64,0.0005501633
0.6409999999999999,0.0005514359
0.642,0.0005527085
0.643,0.0005539812
0.644,0.0005552538
0.645,0.0005565264
0.6459999999999999,0.000557799
0.647,0.0005590717
0.648,0.0005603443
0.649,0.0005616169
0.65,0.0005628896
0.6509999999999999,0.0005641622
0.652,0.0005654348
0.653,0.0005667075
0.654,0.0005679801
0.655,0.0005692526999999
0.6559999999999999,0.0005705253
0.657,0.000571798
0.6579999999999999,0.0005730706
0.659,0.0005743432
0.66,0.0005756159
0.6609999999999999,0.0005768885
0.662,0.0005781611
0.6629999999999999,0.0005794338
0.664,0.0005807064
0.665,0.000581979
0.6659999999999999,0.0005832516999999
0.667,0.0005845243
0.6679999999999999,0.0005857969
0.669,0.0005870695
0.67,0.0005883422
0.6709999999999999,0.0005896148
0.672,0.0005908873999999
0.6729999999999999,0.0005921601
0.674,0.0005934327
0.675,0.0005947052999999
0.6759999999999999,0.000595978
0.677,0.0005972506
0.6779999999999999,0.0005985232
0.679,0.0005997958
0.68,0.0006010685
0.6809999999999999,0.0006023411
0.682,0.0006036137
0.6829999999999999,0.0006048864
0.684,0.000606159
0.685,0.0006074316
0.6859999999999999,0.0006087043
0.687,0.0006099769
0.688,0.0006112495
0.6890000000000001,0.0006125222
0.69,0.0006137948
0.691,0.0006150674
0.6920000000000001,0.00061634
0.693,0.0006176126999999
0.6940000000000001,0.0006188853
0.695,0.0006201579
0.696,0.0006214306
0.6970000000000001,0.0006227032
0.698,0.0006239758
0.6990000000000001,0.0006252485
0.7,0.0006265211
0.701,0.0006277937
0.7020000000000001,0.0006290663
0.703,0.000630339
0.7040000000000001,0.0006316116
0.705,0.0006328842
0.706,0.0006341569
0.7070000000000001,0.0006354294999999
0.708,0.0006367021
0.7090000000000001,0.0006379748
0.71,0.0006392473999999
0.711,0.00064052
0.7120000000000001,0.0006417927
0.713,0.0006430653
0.7140000000000001,0.0006443379
0.715,0.0006456105
0.716,0.0006468832
0.7170000000000001,0.0006481558
0.718,0.0006494284
0.7190000000000001,0.0006507011
0.72,0.0006519737
0.721,0.0006532463
0.722,0.000654519
0.723,0.0006557916
0.7240000000000001,0.0006570642
0.725,0.0006583368
0.726,0.0006596095
0.727,0.0006608821
0.728,0.0006621547
0.7290000000000001,0.0006634274
0.73,0.0006647
0.731,0.0006678378999999
0.732,0.0006709757
0.733,0.0006741136
0.7340000000000001,0.0006772513999999
0.735,0.0006803892999999
0.736,0.0006835271
0.737,0.000686665
0.738,0.0006898029
0.7390000000000001,0.0006929407
0.74,0.0006960786
0.741,0.0006992164
0.742,0.0007023543
0.743,0.0007054921
0.7440000000000001,0.00070863
0.745,0.0007117679
0.746,0.0007149057
0.747,0.0007180436
0.748,0.0007211814
0.7490000000000001,0.0007243193
0.75,0.0007274571
0.7509999999999999,0.000730595
0.752,0.0007337328999999
0.753,0.0007368707
0.754,0.0007400086
0.755,0.0007431464
0.7559999999999999,0.0007462842999999
0.757,0.0007494221
0.758,0.00075256
0.759,0.0007556978999999
0.76,0.0007588357
0.7609999999999999,0.0007619736
0.762,0.0007651114
0.763,0.0007682492999999
0.764,0.0007713871
0.765,0.000774525
0.7659999999999999,0.0007776628999999
0.767,0.0007808007
0.768,0.0007839386
0.769,0.0007870764
0.77,0.0007902142999999
0.7709999999999999,0.0007933521
0.772,0.00079649
0.773,0.0007996278999999
0.774,0.0008027657
0.775,0.0008059036
0.7759999999999999,0.0008090414
0.777,0.0008121792999999
0.778,0.0008153171
0.779,0.000818455
0.78,0.0008215929
0.7809999999999999,0.0008247307
0.782,0.0008278686
0.7829999999999999,0.0008310064
0.784,0.0008341443
0.785,0.0008372821
0.7859999999999999,0.00084042
0.787,0.0008435579
0.7879999999999999,0.0008466957
0.789,0.0008498336
0.79,0.0008529714
0.7909999999999999,0.0008561093
0.792,0.0008592471
0.7929999999999999,0.000862385
0.794,0.0008655229
0.795,0.0008686607
0.7959999999999999,0.0008717986
0.797,0.0008749364
0.7979999999999999,0.0008780743
0.799,0.0008812121
0.8,0.00088435
0.8009999999999999,0.0008874878999999
0.802,0.0008906257
0.8029999999999999,0.0008937636
0.804,0.0008969014
0.805,0.0009000392999999
0.8059999999999999,0.0009031771
0.807,0.000906315
0.8079999999999999,0.0009094528999999
0.809,0.0009125907
0.81,0.0009157286
0.8109999999999999,0.0009188664
0.812,0.0009220042999999
0.813,0.0009251421
0.8140000000000001,0.00092828
0.815,0.0009314178999999
0.816,0.0009345557
0.8170000000000001,0.0009376936
0.818,0.0009408314
0.8190000000000001,0.0009439692999999
0.82,0.0009471071
0.821,0.000950245
0.8220000000000001,0.0009533828999999
0.823,0.0009565207
0.8240000000000001,0.0009596586
0.825,0.0009627964
0.826,0.0009659342999999
0.8270000000000001,0.0009690721
0.828,0.00097221
0.8290000000000001,0.0009753479
0.83,0.0009784857
0.831,0.0009816236
0.8320000000000001,0.0009847614
0.833,0.0009878992999999
0.8340000000000001,0.0009910371
0.835,0.000994175
0.836,0.0009973128999999
0.8370000000000001,0.0010004507
0.838,0.0010035886
0.8390000000000001,0.0010067264
0.84,0.0010098643
0.841,0.0010130021
0.8420000000000001,0.00101614
0.843,0.0010192779
0.8440000000000001,0.0010224157
0.845,0.0010255536
0.846,0.0010286914
0.847,0.0010318292999999
0.848,0.0010349671
0.8490000000000001,0.001038105
0.85,0.0010412429
0.851,0.0010443807
0.852,0.0010475186
0.853,0.0010506564
0.8540000000000001,0.0010537943
